method,kind,dataset_label,dataset,k,num_samples,mean_recall,mean_regret,checkpoint
rank_knn_linf,graph,uniform_d3_n64_test,data/uniform_d3_n64_test.npz,16.0,2000.0,0.93025,0.9927098418697667,checkpoints/ablations/rank_knn_linf.pt
depth0_no_graph,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,4.0,1000.0,0.35758333333333336,0.6074983699993252,checkpoints/ablations/depth0_no_graph.pt
depth0_no_graph,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,8.0,1000.0,0.5226666666666666,0.8418107756169302,checkpoints/ablations/depth0_no_graph.pt
depth0_no_graph,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,16.0,1000.0,0.7098333333333333,0.9409274257988919,checkpoints/ablations/depth0_no_graph.pt
depth1_rank_knn_linf,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,4.0,1000.0,0.4665,0.7464110644791528,checkpoints/ablations/depth1_rank_knn_linf.pt
depth1_rank_knn_linf,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,8.0,1000.0,0.66,0.925612202363665,checkpoints/ablations/depth1_rank_knn_linf.pt
depth1_rank_knn_linf,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,16.0,1000.0,0.8465,0.9795541699664898,checkpoints/ablations/depth1_rank_knn_linf.pt
depth2_rank_knn_linf,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,4.0,1000.0,0.48725,0.7690765106783974,checkpoints/ablations/depth2_rank_knn_linf.pt
depth2_rank_knn_linf,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,8.0,1000.0,0.67975,0.9327738911793413,checkpoints/ablations/depth2_rank_knn_linf.pt
depth2_rank_knn_linf,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,16.0,1000.0,0.8545,0.9800115666558363,checkpoints/ablations/depth2_rank_knn_linf.pt
knn_euclidean,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,4.0,1000.0,0.4969166666666666,0.7716418464602188,checkpoints/ablations/knn_euclidean.pt
knn_euclidean,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,8.0,1000.0,0.69425,0.9343307772302414,checkpoints/ablations/knn_euclidean.pt
knn_euclidean,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,16.0,1000.0,0.86275,0.9821803871225332,checkpoints/ablations/knn_euclidean.pt
knn_linf,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,4.0,1000.0,0.4843333333333334,0.7639553766789857,checkpoints/ablations/knn_linf.pt
knn_linf,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,8.0,1000.0,0.6869166666666667,0.9341738071924875,checkpoints/ablations/knn_linf.pt
knn_linf,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,16.0,1000.0,0.85925,0.9811792661974604,checkpoints/ablations/knn_linf.pt
local,local,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,4.0,1000.0,0.14616666666666667,0.6106415771974417,
local,local,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,8.0,1000.0,0.2345,0.7183068605988967,
local,local,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,16.0,1000.0,0.37825,0.8226363424139506,
random,random,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,4.0,1000.0,0.09125,0.38013957355634614,
random,random,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,8.0,1000.0,0.15633333333333332,0.5695931847303093,
random,random,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,16.0,1000.0,0.27725,0.7564848281879305,
rank_adjacency,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,4.0,1000.0,0.51325,0.7783733051091751,checkpoints/ablations/rank_adjacency.pt
rank_adjacency,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,8.0,1000.0,0.7194166666666666,0.939838783795089,checkpoints/ablations/rank_adjacency.pt
rank_adjacency,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,16.0,1000.0,0.88025,0.9822428722510629,checkpoints/ablations/rank_adjacency.pt
rank_knn_euclidean,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,4.0,1000.0,0.4920833333333333,0.7772915750308366,checkpoints/ablations/rank_knn_euclidean.pt
rank_knn_euclidean,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,8.0,1000.0,0.6833333333333332,0.9344751172864519,checkpoints/ablations/rank_knn_euclidean.pt
rank_knn_euclidean,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,16.0,1000.0,0.85525,0.9811689576951467,checkpoints/ablations/rank_knn_euclidean.pt
rank_knn_linf,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,4.0,1000.0,0.48725,0.7690765106783974,checkpoints/ablations/rank_knn_linf.pt
rank_knn_linf,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,8.0,1000.0,0.67975,0.9327738911793413,checkpoints/ablations/rank_knn_linf.pt
rank_knn_linf,graph,uniform_d4_n64_test,data/uniform_d4_n64_test.npz,16.0,1000.0,0.8545,0.9800115666558363,checkpoints/ablations/rank_knn_linf.pt
